GVIL_CODE,VILLAGE_NM,DIST_NAME,DISTRICT_CODE,PS_NAME,BLOCK_CODE,GP_NAME,GP_CODE
32137,gerai,karauli,107,sapotra,810705,kachroda,810705240
17673,kasoombala bhatiyan,jaisalmer,,sankra,,swamiji ki dhani,
32155,tatwara,sawai madhopur,,gangapur,,talawara,
17687,hariyana,jodhpur,,balesar,,nimbon ka gaon,
32253,peenani,tonk,,malpura,,diggi,
32194,dhanesra,sawai madhopur,108,bonli,810802,datooli,810802120
32182,neemod,sawai madhopur,108,bamanwas,810801,sancholi,810801310
17664,ratnuon ki dhani,barmer,115,sheo,811515,bhiyar,811515050
32242,abbas nagar chak no.3,tonk,,tonk,,banwara,
32197,miskinpura,sawai madhopur,108,bonli,810802,datooli,810802120
17671,ramderiya,barmer,115,sheo,811515,undoo,811515270
32295,tabeeji (rural),ajmer,,peesangan,,doomara,
17688,mahadeonagar undera,jodhpur,,mandor,,beroo,
17659,manihari,barmer,,sheo,,rajral,
17683,hemawas,jodhpur,113,shergarh,811315,gumansinghpura,811315130
32153,looloj,karauli,107,sapotra,810705,bhartoon,810705090
32186,berkhandi,sawai madhopur,108,bamanwas,810801,sancholi,810801310
32282,dhasook,tonk,120,malpura,812002,antoli,812002010
17669,ratri,barmer,,sheo,,chochra,
32297,balwanta,ajmer,,srinagar,,danta,
17686,birad nagar,jodhpur,,shergarh,,khirjan tibna,
32293,mandiyani,ajmer,119,srinagar,811909,kanpura,811909210
32304,jajiwal jakharan,jodhpur,113,mandor,811310,jajiwal kalan,811310140
32217,medar khurd,sawai madhopur,108,bonli,810802,moran,810802320
32233,naya mauja jaisinghpura,tonk,,niwai,,chainpura,
32310,baloonda,pali,,jaitaran,,falka,
17661,chak harwa,barmer,,sheo,,rajral,
17693,shiv sarnon ki dhan,jodhpur,,mandor,,beroo,
17694,jakharo ki dhani,jodhpur,,mandor,,beroo,
32203,barh bariyara,sawai madhopur,108,bonli,810802,jastana,810802180
32110,jakhauda,karauli,,sapotra,,dhoreta,
17691,popawas,jodhpur,113,balesar,811301,bawarli,811301050
17633,myajlar,jaisalmer,114,sam,811402,dav,811402090
32120,chainapura,karauli,,sapotra,,dhoreta,
17698,palri mangaliya,jodhpur,,mandor,,manaklao,
32262,sandera,tonk,,tonk,,banwara,
17684,manasar,jaisalmer,,sankra,,bhurajgarh,
32305,jhadol,ajmer,119,srinagar,811909,tilana,811909400
32306,chandsen,ajmer,119,srinagar,811909,kanpura,811909210
32302,keriya,ajmer,119,arain,811901,lamba,811901170
32227,thari,sawai madhopur,108,bonli,810802,kushalpura,810802250
32318,kalesara,ajmer,,peesangan,,budhwara,
